split,count,mae,mse,rmse,r2,bias_pred_minus_true,true_mean,pred_mean,true_min,true_max,pred_min,pred_max,loss_bucket
0,1000,1.5712024426242346,3.619515908509771,1.9025025383714396,-35.288056509762704,1.5118895341337566,0.016,1.5278895341337566,0.0,9.0,-4.68871940653532,9.162298976652847,0
0-2,1000,0.7008648417223198,0.9093380341757896,0.9535921739275075,-30.409555254595325,0.18290600436411655,1.007,1.1899060043641165,1.0,6.0,-3.5043276020318985,9.299707641601108,0-2
10-18,1000,9.348290350417559,94.33880415501545,9.712816489310166,-23.625375566539727,-9.348290350417559,11.821,2.4727096495824408,10.0,17.0,-3.6116408278571686,11.745116295722225,10-18
18-28,1000,17.43331705849608,315.20670295270725,17.75406159031525,-45.7131302678356,-17.43331705849608,20.733,3.2996829415039204,18.0,27.0,-5.573931506174064,19.332003910823936,18-28
2-5,1000,1.4167233109398638,3.032765093024304,1.7414835896511642,-2.8178531416633983,-0.9528058874494446,2.806,1.8531941125505553,2.0,4.0,-3.082084733285862,7.356708568615929,2-5
28+,1000,30.153251728986106,974.0700609813496,31.21009549779285,-15.807177580446918,-30.153251728986106,33.88,3.726748271013891,28.0,82.0,-4.724924681335443,27.825943882078004,28+
5-8,1000,3.9890479755680497,18.039207045292706,4.247258768346085,-42.2491178261633,-3.957236039514892,5.87,1.9127639604851085,5.0,7.0,-4.991629981426826,8.311125871629798,5-8
8-10,1000,5.937498782106097,37.940144750562375,6.159557187863619,-267.8883398338935,-5.9328497445927315,8.17,2.2371502554072675,8.0,9.0,-2.424173402351199,9.408588179468493,8-10
negative,1000,1.793466266833621,4.10832688708568,2.0269008083983,-1.812937997102165,1.7561421251851048,-1.317,0.43914212518510465,-18.0,8.0,-9.596833363360778,4.713397144987738,negative
